Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Địa chỉ,latitude,longtitude,url
77 m²,20 triệu/tháng,,,,,,2 phòng,2 phòng,,Đầy đủ,09/04/2024,16/04/2024,Tin VIP Kim Cương,38582357,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8024129867554,106.745101928711,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-an-phu-prj-lumiere-riverside/mr-hieu-quan-ly-c-1pn-2otr-2pn-24tr-3pn-35tr-mien-phi-quan-ly-xem-nha-ngay-pr38582357
77 m²,20 triệu/tháng,,,,,,2 phòng,2 phòng,,Đầy đủ.,09/04/2024,16/04/2024,Tin VIP Kim Cương,38822649,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",10.8024129867554,106.745101928711,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-an-phu-prj-lumiere-riverside/chay-gio-hang-1-2-3-phong-ngu-da-dang-dien-tich-hinh-that-gia-that-xem-nha-ngay-pr38822649
99 m²,Thỏa thuận,,,Tây,Đông,,2 phòng,2 phòng,,Full nội thất cao cấp,07/04/2024,22/04/2024,Tin VIP Kim Cương,34431823,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",10.7386236190796,106.70059967041,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/chuyen-c-quan-li-nhieu-1pn-13tr-2pn-18tr-3-4pn-23-30tr-pr34431823
52 m²,5 triệu/tháng,,,,,,1 phòng,,,,29/03/2024,13/04/2024,Tin VIP Kim Cương,39446030,"Dự án Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-vinhomes-grand-park/-gio-doc-quyen-thang-3-studio-3pn-gia-chi-tu-4tr-thang-lh-pr39446030
30 m²,"4,5 triệu/tháng",,,,,,1 phòng,1 phòng,,Đầy đủ,03/04/2024,18/04/2024,Tin VIP Kim Cương,38842375,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/chuyen-cho-cap-nhat-gia-cac-khu-rainbow-origami-solari-masterise-pr38842375
89 m²,18 triệu/tháng,,,,,,2 phòng,2 phòng,,Đầy đủ,01/04/2024,11/04/2024,Tin VIP Kim Cương,39246509,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.7841062545776,106.703651428223,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/chinh-chu-cho-gap-ch-bason-1pn-16tr-2pn-19tr-3pn-28tr-4pn-38tr-lh-xem-nha-24-7-pr39246509
48 m²,"4,5 triệu/tháng",,,Đông - Bắc,Đông - Bắc,,1 phòng,1 phòng,Đang chờ sổ,Đầy đủ,08/04/2024,23/04/2024,Tin VIP Kim Cương,36940350,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.841423034668,106.840118408203,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/cho-studio-gia-3-8tr-1pn-gia-4t5r-2pn-gia-5tr-3pn-gia-6tr5-re-nhat-thi-truong-pr36940350
76 m²,"15,5 triệu/tháng",,,Nam,Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,08/04/2024,15/04/2024,Tin VIP Kim Cương,38430824,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",10.7386236190796,106.70059967041,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/c-100-dai-han-ngan-han-1pn-10tr-2pn-14tr-3pn-18tr-pr38430824
85 m²,18 triệu/tháng,,,,,,2 phòng,2 phòng,,,03/04/2024,18/04/2024,Tin VIP Kim Cương,34270339,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.782538,106.707504,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/-c-gap-nhieu-1-2-3-4pn-vinmes-bason-noi-that-cao-cap-lh-0899303716-xem-nha-24-7-pr34270339
78 m²,22 triệu/tháng,,,Đông - Bắc,,,2 phòng,2 phòng,,,07/04/2024,14/04/2024,Tin VIP Kim Cương,36155038,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.7841062545776,106.703651428223,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p1/cho-thue-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/cap-nhat-gio-hang-c-moi-nhat-tai-vinmes-t12-2022-pr36155038
