Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Địa chỉ,latitude,longtitude,url
50 m²,6 triệu/tháng,,,,,,1 phòng,1 phòng,,Full.,29/03/2024,13/04/2024,Tin VIP Vàng,37804273,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",10.7478466,106.7158701,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-lam-van-ben-phuong-tan-kieng/chinh-chu-c-moi-tinh-full-noi-that-vao-o-ngay-quan-7-chi-6tr-th-pr37804273
94 m²,25 triệu/tháng,,,,,,2 phòng,2 phòng,,Cơ bản,28/03/2024,12/04/2024,Tin VIP Vàng,39218985,"Dự án Empire City Thủ Thiêm, Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",10.76982593536377,106.7162094116211,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-mai-chi-tho-phuong-thu-thiem-prj-empire-city-thu-thiem/san-gd-tong-hop-gio-hang-full-doc-quyen-100-canho-cho-thue1pn-2pn-3pn-4pn-thang-3-2024-pr39218985
51 m²,"33,75 triệu/tháng",,,,,,1 phòng,1 phòng,,Đầy đủ,28/03/2024,12/04/2024,Tin VIP Vàng,39430166,"Grand Marina Saigon, Số 2, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",10.778476,106.706665,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-grand-marina-saigon/c-hang-hieu-1-2-3pn-dual-key-full-nt-cao-cap-gia-hap-dan-pr39430166
60 m²,16 triệu/tháng,,,,,,1 phòng,,,,27/03/2024,11/04/2024,Tin VIP Vàng,38768311,"Dự án De La Sol, Đường Tôn Thất Thuyết, Phường 1, Quận 4, Hồ Chí Minh",10.7530396720323,106.692643523216,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-ton-that-thuyet-phuong-1-prj-de-la-sol/nam-trum-150-delasol-cho-ban-1-2-3pn-va-penthouse-khong-sales-nao-nhieu-bang-pr38768311
68 m²,"10,5 triệu/tháng",,,,,,2 phòng,2 phòng,,Cơ bản,26/03/2024,10/04/2024,Tin VIP Vàng,39417325,"D’Lusso, số 09, Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Hồ Chí Minh",10.789773,106.75522,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-nguyen-thi-dinh-phuong-an-phu-prj-can-ho-dlusso/ban-quan-ly-precia-c-gia-tot-1pn-9-5tr-2pn-11tr-3pn-14tr-lh-pr39417325
35 m²,12 triệu/tháng,,,,,,1 phòng,1 phòng,,Đầy đủ,08/04/2024,15/04/2024,Tin VIP Bạc,39127755,"Saigon Royal Residence, 35, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",10.7674293518066,106.704132080078,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-ben-van-don-phuong-12-prj-saigon-royal-residence/muon-gia-tot-nhat-phai-goi-ot-13tr-1pn-16tr-2pn-19tr-3pn-35tr-pr39127755
60 m²,10 triệu/tháng,,,,,,1 phòng,1 phòng,,Đầy đủ,10/04/2024,17/04/2024,Tin VIP Bạc,39549102,"Đường Nguyễn Văn Trỗi, Phường 10, Phú Nhuận, Hồ Chí Minh",10.7976172,106.6719824,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-nguyen-van-troi-phuong-10-9/mien-phi-quan-ly-boi-sauna-gym-c-nhieu-chcc-gia-tot-pn-pr39549102
72 m²,"13,9 triệu/tháng",,,,,,2 phòng,2 phòng,,,10/04/2024,17/04/2024,Tin VIP Bạc,37238978,"Terra Royal, 280, Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",10.790991,106.68558,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-nam-ky-khoi-nghia-phuong-vo-thi-sau-prj-terra-royal/chuyen-cho-ch-quan-3-xem-nhieu-1-lan-60m2-gia-13-9-trieu-lh-0902-442-018-pr37238978
60 m²,12 triệu/tháng,,,,,,2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ.,10/04/2024,17/04/2024,Tin VIP Bạc,39548644,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",10.7337465286255,106.68962097168,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-so-9a-xa-binh-hung-1-prj-sai-gon-mia/saigon-c-2pn-noi-that-co-ban-12-trieu-th-lh-xem-nha-pr39548644
51 m²,"7,55 triệu/tháng",,,,,,1 phòng,1 phòng,,Cơ bản,09/04/2024,16/04/2024,Tin VIP Bạc,39547851,"Dự án Masteri Centre Point, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",10.835247993469238,106.8302230834961,https://batdongsan.com.vn/cho-thue-can-ho-chung-cu-tp-hcm/p6/cho-thue-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-masteri-centre-point/cap-nhat-gio-hang-cho-masterise-moi-nhat-gia-tot-nhat-xem-nha-24-7-san-khoa-the-pr39547851
